year,state,total_vote,d,r,margin
1896,PENNSYLVANIA,1194355,427125,728300,-25.216539471095285
1896,RHODE ISLAND,54785,14459,37437,-41.94213744638131
1896,SOUTH CAROLINA,68938,58801,9313,71.78624271084163
1896,SOUTH DAKOTA,82937,41225,41040,0.22306087753354853
1896,TENNESSEE,320903,167168,148683,5.760307631901224
1896,TEXAS,515987,267803,163413,20.23112985404671
1896,UTAH,78098,64607,13491,65.45109990012547
1896,VERMONT,63831,10179,51127,-64.15064780435839
1896,VIRGINIA,294674,154708,135379,6.559452140331351
1896,WASHINGTON,93583,51646,39153,13.349646837566652
1896,WEST VIRGINIA,201757,94480,105379,-5.402043051790029
1896,WISCONSIN,447409,165523,268135,-22.934719686014365
1896,WYOMING,21093,10376,10072,1.441236429147108
1900,ALABAMA,160477,96368,55634,25.383076702580436
1900,ARKANSAS,127966,81242,44800,28.477876936061147
1900,CALIFORNIA,302399,124985,164755,-13.151498516860178
1900,COLORADO,220895,122705,92701,13.582924013671654
1900,CONNECTICUT,180195,74014,102572,-15.84838647021282
1900,DELAWARE,41989,18852,22535,-8.771344876038961
1900,FLORIDA,39777,28273,7463,52.316665409658846
1900,GEORGIA,121410,81180,34260,38.64591055102545
1900,IDAHO,56760,28260,27198,1.8710359408033783
1900,ILLINOIS,1131898,503061,597985,-8.386268020616699
1900,INDIANA,664094,309584,336063,-3.987236746605155
1900,IOWA,530345,209261,307799,-18.579980955792923
1900,KANSAS,353766,162601,185955,-6.601538870326712
1900,KENTUCKY,467580,234889,226801,1.72975747465674
1900,LOUISIANA,67906,53668,14234,58.07145171266163
1900,MAINE,107698,37822,66413,-26.547382495496674
1900,MARYLAND,264386,122237,136151,-5.262759752785695
1900,MASSACHUSETTS,414804,156997,238866,-19.73679135206025
1900,MICHIGAN,543789,211432,316014,-19.232091859158608
1900,MINNESOTA,316311,112901,190461,-24.52017160326388
1900,MISSISSIPPI,59055,51706,5707,77.89179578359156
1900,MISSOURI,683658,351922,314092,5.533468488630278
1900,MONTANA,63856,37311,25409,18.638812327737416
1900,NEBRASKA,241430,114013,121835,-3.2398624860208
1900,NEVADA,10196,6347,3849,24.49980384464496
1900,NEW HAMPSHIRE,92364,35489,54799,-20.906413754276564
1900,NEW JERSEY,401050,164808,221707,-14.187507792045878
1900,NEW YORK,1548043,678462,822013,-9.27306282835813
1900,NORTH CAROLINA,292518,157733,132997,8.45623175325963
1900,NORTH DAKOTA,57783,20524,35898,-26.606441340878806
1900,OHIO,1040073,474882,543918,-6.637611013842299
1900,OREGON,84216,33385,46526,-15.60392324498907
1900,PENNSYLVANIA,1173210,424232,712665,-24.584942167216443
1900,RHODE ISLAND,56548,19812,33784,-24.70821249204215
1900,SOUTH CAROLINA,50698,47173,3525,86.09412600102569
1900,SOUTH DAKOTA,96169,39538,54574,-15.634975927793777
1900,TENNESSEE,273860,145240,123108,8.081501497115312
1900,TEXAS,424334,267945,131174,32.231921081035225
1900,UTAH,93071,44949,47089,-2.2993198740746346
1900,VERMONT,56212,12849,42569,-52.871273037785514
1900,VIRGINIA,264208,146079,115769,11.472022043238656
1900,WASHINGTON,107523,44833,57455,-11.738883773704227
1900,WEST VIRGINIA,220796,98807,119829,-9.521005815322736
1900,WISCONSIN,442501,159163,265760,-24.089663074207746
1900,WYOMING,24708,10164,14482,-17.476121094382393
1904,ALABAMA,108785,79797,22472,52.69568414763064
1904,ARKANSAS,116328,64434,46760,15.193246681796296
1904,CALIFORNIA,331768,89294,205226,-34.94369559451182
1904,COLORADO,243667,100105,134661,-14.181649546307051
1904,CONNECTICUT,191136,72909,111089,-19.975305541603884
1904,DELAWARE,43856,19347,23705,-9.937066763954766
1904,FLORIDA,39302,27046,8314,47.6616966057707
1904,GEORGIA,130986,83466,24004,45.39569114256486
1904,IDAHO,72577,18480,47783,-40.3750499469529
1904,ILLINOIS,1076495,327606,632645,-28.336313684689664
1904,INDIANA,682206,274356,368289,-13.769008188142587
1904,IOWA,485703,149141,307907,-32.687877159498704
1904,KANSAS,329047,86164,213455,-38.68474716377903
1904,KENTUCKY,435946,217170,205457,2.686800658797189
1904,LOUISIANA,53908,47708,5205,78.84358536766342
1904,MAINE,96036,27648,64438,-38.30855096005664
1904,MARYLAND,224229,109446,109497,-0.02274460484593676
1904,MASSACHUSETTS,445100,165746,257813,-20.68456526623231
1904,MICHIGAN,520443,134163,361863,-43.75118889100248
1904,MINNESOTA,292860,55187,216651,-55.133510892576666
1904,MISSISSIPPI,58721,53480,3280,85.48900733979326
1904,MISSOURI,643861,296312,321449,-3.9041035254503695
1904,MONTANA,63568,21816,33994,-19.157437704505416
1904,NEBRASKA,225732,52921,138558,-37.93746566725142
1904,NEVADA,12115,3982,6864,-23.788691704498554
1904,NEW HAMPSHIRE,90151,34071,54157,-22.28039622411288
1904,NEW JERSEY,432547,164566,245164,-18.63335082661537
1904,NEW YORK,1617765,683981,859533,-10.85151428050427
1904,NORTH CAROLINA,207818,124091,82442,20.04109364925079
1904,NORTH DAKOTA,70279,14273,52595,-54.52837974359339
1904,OHIO,1004395,344674,600095,-25.430333683461186
1904,OREGON,89656,17327,60309,-47.94101900597841
1904,PENNSYLVANIA,1236738,337998,840949,-40.667546400288494
1904,RHODE ISLAND,68656,24839,41605,-24.420298298764862
1904,SOUTH CAROLINA,55890,53320,2570,90.80336375022368
1904,SOUTH DAKOTA,101395,21969,72083,-49.42452783667834
1904,TENNESSEE,242750,131653,105363,10.830072090628216
1904,TEXAS,233609,167088,51307,49.56187475653764
1904,UTAH,101626,33413,62446,-28.568476570956253
1904,VERMONT,51888,9777,40459,-59.13120567375887
1904,VIRGINIA,130410,80649,48180,24.89763054980446
1904,WASHINGTON,145151,28098,101540,-50.5969645403752
1904,WEST VIRGINIA,239986,100855,132620,-13.2361887776787
1904,WISCONSIN,443440,124205,280314,-35.204086234890845
